0,Ses01F_impro02_F000,sad
1,Ses01F_impro02_F001,sad
2,Ses01F_impro02_F002,sad
3,Ses01F_impro02_F004,sad
4,Ses01F_impro02_F005,sad
5,Ses01F_impro02_F008,sad
6,Ses01F_impro02_F010,sad
7,Ses01F_impro02_F012,sad
8,Ses01F_impro02_F013,sad
9,Ses01F_impro02_F014,sad
10,Ses01F_impro02_F015,sad
11,Ses01F_impro02_F017,sad
12,Ses01F_impro02_F019,sad
13,Ses01F_impro02_F020,sad
14,Ses01F_impro02_M001,sad
15,Ses01F_impro02_M005,sad
16,Ses01F_impro02_M009,sad
17,Ses01F_impro02_M010,sad
18,Ses01F_impro02_M011,sad
19,Ses01F_impro02_M013,sad
20,Ses01F_impro02_M014,sad
21,Ses01F_impro06_F002,sad
22,Ses01F_impro06_F005,sad
23,Ses01F_impro06_F006,sad
24,Ses01F_impro06_F007,sad
25,Ses01F_impro06_F008,sad
26,Ses01F_impro06_F010,sad
27,Ses01F_impro06_F011,sad
28,Ses01F_impro06_F012,sad
29,Ses01F_impro06_F013,sad
30,Ses01F_impro06_F014,sad
31,Ses01F_impro06_F015,sad
32,Ses01F_impro06_F020,sad
33,Ses01F_impro06_F021,sad
34,Ses01F_impro06_F022,sad
35,Ses01F_impro06_F023,sad
36,Ses01F_impro06_F024,sad
37,Ses01F_impro06_F025,sad
38,Ses01F_impro06_F026,sad
39,Ses01F_impro06_F028,sad
40,Ses01F_impro06_M000,sad
41,Ses01F_impro06_M003,sad
42,Ses01F_impro06_M007,sad
43,Ses01F_script01_3_F030,sad
44,Ses01F_script01_3_M021,sad
45,Ses01F_script01_3_M022,sad
46,Ses01F_script01_3_M023,sad
47,Ses01F_script01_3_M024,sad
48,Ses01F_script01_3_M025,sad
49,Ses01F_script01_3_M026,sad
50,Ses01F_script01_3_M027,sad
51,Ses01F_script01_3_M028,sad
52,Ses01F_script01_3_M029,sad
53,Ses01F_script01_3_M030,sad
54,Ses01F_script01_3_M032,sad
55,Ses01F_script01_3_M033,sad
56,Ses01F_script01_3_M036,sad
57,Ses01F_script02_1_F010,sad
58,Ses01F_script02_2_F015,sad
59,Ses01F_script02_2_F022,sad
60,Ses01F_script02_2_F034,sad
61,Ses01F_script02_2_F035,sad
62,Ses01F_script02_2_F036,sad
63,Ses01F_script02_2_F040,sad
64,Ses01F_script02_2_F046,sad
65,Ses01F_script02_2_M037,sad
66,Ses01F_script02_2_M038,sad
67,Ses01M_impro02_F009,sad
68,Ses01M_impro02_F010,sad
69,Ses01M_impro02_F013,sad
70,Ses01M_impro02_F015,sad
71,Ses01M_impro02_F017,sad
72,Ses01M_impro02_F019,sad
73,Ses01M_impro02_M001,sad
74,Ses01M_impro02_M002,sad
75,Ses01M_impro02_M003,sad
76,Ses01M_impro02_M007,sad
77,Ses01M_impro02_M009,sad
78,Ses01M_impro02_M010,sad
79,Ses01M_impro02_M011,sad
80,Ses01M_impro02_M012,sad
81,Ses01M_impro02_M013,sad
82,Ses01M_impro02_M014,sad
83,Ses01M_impro02_M015,sad
84,Ses01M_impro02_M016,sad
85,Ses01M_impro02_M017,sad
86,Ses01M_impro02_M018,sad
87,Ses01M_impro02_M019,sad
88,Ses01M_impro02_M020,sad
89,Ses01M_impro02_M021,sad
90,Ses01M_impro02_M022,sad
91,Ses01M_impro02_M023,sad
92,Ses01M_impro02_M025,sad
93,Ses01M_impro06_F003,sad
94,Ses01M_impro06_F004,sad
95,Ses01M_impro06_F005,sad
96,Ses01M_impro06_F006,sad
97,Ses01M_impro06_M000,sad
98,Ses01M_impro06_M001,sad
99,Ses01M_impro06_M002,sad
100,Ses01M_impro06_M003,sad
101,Ses01M_impro06_M004,sad
102,Ses01M_impro06_M005,sad
103,Ses01M_impro06_M006,sad
104,Ses01M_impro06_M007,sad
105,Ses01M_impro06_M008,sad
106,Ses01M_impro06_M009,sad
107,Ses01M_impro06_M010,sad
108,Ses01M_impro06_M011,sad
109,Ses01M_impro06_M012,sad
110,Ses01M_impro06_M013,sad
111,Ses01M_impro06_M014,sad
112,Ses01M_impro06_M015,sad
113,Ses01M_impro06_M016,sad
114,Ses01M_impro06_M017,sad
115,Ses01M_impro06_M018,sad
116,Ses01M_impro06_M019,sad
117,Ses01M_impro06_M020,sad
118,Ses01M_impro06_M021,sad
119,Ses01M_impro06_M022,sad
120,Ses01M_impro06_M023,sad
121,Ses01M_impro06_M024,sad
122,Ses01M_impro06_M025,sad
123,Ses01M_impro06_M026,sad
124,Ses01M_impro06_M027,sad
125,Ses01M_impro06_M028,sad
126,Ses01M_impro06_M029,sad
127,Ses01M_impro06_M030,sad
128,Ses01M_script01_1_F004,sad
129,Ses01M_script01_1_F005,sad
130,Ses01M_script01_1_F006,sad
131,Ses01M_script01_1_F031,sad
132,Ses01M_script01_1_M003,sad
133,Ses01M_script01_1_M004,sad
134,Ses01M_script01_1_M005,sad
135,Ses01M_script01_1_M006,sad
136,Ses01M_script01_1_M007,sad
137,Ses01M_script01_1_M024,sad
138,Ses01M_script01_1_M038,sad
